0.007089,-0.012558,0.845572,0.046526,-0.015721,0.743605,0.666813,-0.047858,0.351996,-0.005789,0.459035,-0.297567,-0.135367,-0.086265,-0.390058,0.016112,0.531469,-0.414116,0.213192,0.050785,0.021455,0.013437,0.290976,0.895333,0.880658,-0.153100,-0.038088,-0.265937,0.523636,-0.018116,-1.028242,-0.672311,-0.296171,0.199746,-0.244527,-0.429121
0.008529,-0.012872,0.837488,0.049090,-0.003946,0.761467,0.646330,-0.167027,0.312670,-0.065790,0.614402,-0.358981,-0.116154,-0.148919,-0.441015,-0.004845,0.682837,-0.496177,0.216897,0.010207,-0.022995,0.009755,0.124007,0.937808,0.789868,-0.322445,-0.043337,-0.349343,0.511070,-0.023900,-0.924620,-0.582034,-0.471288,0.320894,-0.317962,-0.338240
0.005414,-0.011150,0.837222,0.033350,0.005443,0.767793,0.639806,-0.232265,0.321207,-0.050545,0.644820,-0.366353,-0.103412,-0.187775,-0.443593,-0.011381,0.702936,-0.482738,0.229554,-0.015370,-0.044085,-0.018774,-0.148305,0.865411,0.569369,-0.473903,-0.016215,-0.388487,0.500044,-0.124318,-0.742288,-0.378302,-0.609438,0.385706,-0.327532,-0.265793
0.008564,-0.009734,0.839362,0.023015,0.007857,0.774481,0.632130,-0.260160,0.342592,-0.027688,0.628308,-0.333608,-0.097466,-0.191693,-0.428455,-0.024297,0.697127,-0.471894,0.227137,-0.041235,-0.036771,-0.014892,-0.397496,0.711764,0.272202,-0.486332,-0.103352,-0.396756,0.439395,-0.178534,-0.574269,-0.135960,-0.605690,0.491470,-0.282889,-0.169191
0.007024,-0.017942,0.840410,0.020582,0.006279,0.779413,0.626141,-0.283872,0.344761,-0.008879,0.622685,-0.315823,-0.089334,-0.188731,-0.418797,-0.013025,0.680946,-0.454196,0.238853,-0.049584,-0.033469,0.004031,-0.542375,0.603402,0.079041,-0.384121,-0.119751,-0.377898,0.415707,-0.227048,-0.510127,0.082821,-0.550035,0.576300,-0.241213,-0.077166
0.014890,-0.031461,0.840186,0.034772,-0.000451,0.786875,0.616131,-0.310490,0.330527,-0.010334,0.640689,-0.250598,-0.095905,-0.164514,-0.419565,-0.011403,0.684556,-0.452412,0.257855,-0.029331,-0.029023,0.037783,-0.679084,0.529016,-0.149816,-0.040423,-0.078833,-0.326723,0.342622,-0.350573,-0.508418,0.338439,-0.362853,0.579789,-0.177083,0.044000
0.022751,-0.057101,0.837663,0.048755,-0.020029,0.791200,0.609282,-0.350616,0.315218,-0.054149,0.694339,-0.246951,-0.086075,-0.156421,-0.389561,0.007698,0.708838,-0.430354,0.261800,-0.004762,-0.018541,0.064465,-0.852026,0.479977,-0.491787,0.588900,0.037336,-0.181460,0.105860,-0.600011,-0.546988,0.627389,-0.019852,0.371749,-0.099325,0.138580
0.016549,-0.070189,0.833090,0.058074,-0.027268,0.799932,0.596652,-0.402131,0.272088,-0.075664,0.776711,-0.272872,-0.088697,-0.139898,-0.422493,-0.020556,0.723805,-0.420710,0.261800,0.044630,-0.000423,0.082581,-0.844778,0.424771,-0.700828,0.802831,0.175118,-0.110981,-0.073844,-0.861953,-0.561071,0.877119,0.241783,0.162348,-0.052965,0.233330
0.017313,-0.069249,0.828323,0.067224,-0.021516,0.809847,0.582379,-0.460807,0.242831,-0.082175,0.869832,-0.272957,-0.125125,-0.121708,-0.475082,-0.072314,0.748805,-0.462844,0.248754,0.108668,0.025151,0.082428,-0.815487,0.374084,-0.747440,0.836729,0.192333,-0.082962,-0.130381,-1.053470,-0.583188,0.964126,0.451439,0.109767,-0.007837,0.304026
0.009907,-0.055757,0.824996,0.068797,-0.009717,0.822107,0.565077,-0.527939,0.232826,-0.075832,0.990020,-0.280400,-0.169903,-0.091871,-0.533382,-0.126565,0.767165,-0.485816,0.232241,0.218211,0.071349,0.078309,-0.665737,0.451543,-0.678911,0.492134,0.129798,-0.119338,-0.168088,-1.263008,-0.644010,0.947585,0.860587,0.115315,0.027937,0.298826
